Language from 008,Language from 041
ger,"deutsch, englisch (untertitel)"
ger,"deutsch, deutsch (untertitel für hörgeschädigte), deutsch (hörfilmfassung für sehgeschädigte)"
ger,"deutsch, englisch, italienisch, französisch, französisch (untertitel), niederländisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte), italienisch (untertitel für hörgeschädigte), deutsch (audiodeskription für blinde)"
ger,"deutsch, englisch, französisch, spanisch, italienisch, deutsch (untertitel), französisch (untertitel), spanisch (untertitel), italienisch (untertitel), niederländisch (untertitel), dänisch (untertitel), finnisch (untertitel), norwegisch (untertitel), schwedisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, norwegisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), portugiesisch (untertitel), spanisch (untertitel), türkisch (untertitel)"
ger,"deutsch, englisch/französisch, deutsch (untertitel)"
ger,"deutsch, japanisch, deutsch (untertitel), englisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel)"
ger,"deutsch, deutsch (untertitel), englisch (untertitel)"
ger,"deutsch, englisch, englisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, türkisch, deutsch (untertitel), englisch (untertitel), türkisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, thailändisch, spanisch, italienisch, französisch, koreanisch (untertitel), spanisch (untertitel), isländisch (untertitel), thailändisch (untertitel), französisch (untertitel), niederländisch (untertitel), dänisch (untertitel), finnisch (untertitel), schwedisch (untertitel), chinesisch (untertitel), indonesisch (untertitel), norwegisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte), italienisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, französisch, englisch, deutsch (untertitel), englisch (untertitel), holländisch (untertitel), französisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), schwedisch (untertitel), norwegisch (untertitel), dänisch (untertitel), finnisch (untertitel), isländisch (untertitel), italienisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, spanisch, deutsch (untertitel), englisch (untertitel), spanisch (untertitel), holländisch (untertitel), schwedisch (untertitel), norwegisch (untertitel), dänisch (untertitel), finnisch (untertitel), portugiesisch (untertitel), französisch (untertitel), italienisch (untertitel), hebräisch (untertitel), türkisch (untertitel), polnisch (untertitel), griechisch (untertitel), tschechisch (untertitel), ungarisch (untertitel), isländisch (untertitel), kroatisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel)"
ger,"deutsch, englisch, französisch, deutsch (untertitel), englisch (untertitel), italienisch (untertitel)"
ger,"deutsch, englisch, tschechisch, polnisch (untertitel), tschechisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, polnisch, türkisch, deutsch (untertitel), englisch (untertitel), polnisch (untertitel), türkisch (untertitel)"
ger,"deutsch, englisch, französisch, deutsch (untertitel), englisch (untertitel), französisch (untertitel)"
ger,"deutsch, englisch, englisch (untertitel für hörgeschädigte), deutsch (untertitel)"
ger,"deutsch, japanisch, deutsch (untertitel)"
ger,"deutsch, japanisch, deutsch (untertitel)"
ger,"deutsch, japanisch, deutsch (untertitel)"
ger,"deutsch, japanisch, deutsch (untertitel)"
ger,"deutsch, japanisch, deutsch (untertitel)"
ger,"deutsch, japanisch, deutsch (untertitel)"
ger,"deutsch, englisch, französisch, spanisch, holländisch, deutsch (untertitel), englisch (untertitel), französisch (untertitel), spanisch (untertitel), schwedisch (untertitel), finnisch (untertitel), norwegisch (untertitel), dänisch (untertitel), holländisch (untertitel), portugiesisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch"
ger,"deutsch, englisch, französisch, deutsch (untertitel), englisch (untertitel), französisch (untertitel), arabisch (untertitel), bulgarisch (untertitel), dänisch (untertitel), finnisch (untertitel), holländisch (untertitel), isländisch (untertitel), norwegisch (untertitel), polnisch (untertitel), rumänisch (untertitel), schwedisch (untertitel), tschechisch (untertitel), türkisch (untertitel), ungarisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, japanisch, deutsch (untertitel)"
ger,"deutsch, japanisch, deutsch (untertitel)"
ger,"deutsch, englisch, französisch, spanisch, deutsch (untertitel), englisch (untertitel), türkisch (untertitel), französisch (untertitel), spanisch (untertitel für hörgeschädigte), portugiesisch (untertitel), arabisch (untertitel)"
ger,"deutsch, ukrainisch, deutsch (untertitel)"
ger,"deutsch, kantonesisch"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), türkisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, niederländisch, hebräisch, ungarisch, türkisch, englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, niederländisch, finnisch, dänisch, schwedisch, norwegisch, englisch (untertitel)"
ger,"englisch, deutsch (untertitel)"
ger,"deutsch, englisch"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, deutsch (untertitel für hörgeschädigte), deutsch (hörfilmfassung)"
ger,"deutsch, englisch, französisch, italienisch, französisch (untertitel), niederländisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte), italienisch (untertitel für hörgeschädigte), deutsch (audiodeskription für blinde)"
ger,"deutsch, englisch (untertitel), deutsch (untertitel für hörgeschädigte), deutsch (audiodeskription)"
ger,"deutsch, deutsch (untertitel für hörgeschädigte), deutsch (audiodeskription für blinde und sehbehinderte)"
ger,"deutsch, englisch, tschechisch, polnisch, deutsch (untertitel), tschechisch (untertitel), polnisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, holländisch, französisch, spanisch, italienisch"
ger,"deutsch, englisch, französisch, polnisch, tschechisch, slowakisch, französisch (untertitel), niederländisch (untertitel), polnisch (untertitel), tschechisch (untertitel), slowakisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte), deutsch (audiodeskription für blinde)"
ger,"deutsch, englisch (untertitel), deutsch (untertitel für hörgeschädigte), deutsch (hörfilmfassung)"
ger,"deutsch, deutsch (untertitel)"
ger,"deutsch, englisch, französisch, spanisch, italienisch, niederländisch, portugiesisch, russisch, japanisch, chinesisch, koreanisch"
ger,"deutsch, englisch, französisch, italienisch, spanisch, japanisch, koreanisch, polnisch, portugiesisch, russisch, chinesisch"
ger,"deutsch, englisch, französisch, spanisch, portugiesisch, russisch, japanisch, koreanisch, chinesisch"
ger,"deutsch, englisch, französisch, niederländisch, spanisch, italienisch, japanisch, chinesisch, koreanisch"
ger,"deutsch, englisch, französisch, spanisch, italienisch, japanisch, chinesisch, koreanisch"
ger,"deutsch, englisch, französisch, niederländisch, spanisch, brasilianisches portugiesisch, italienisch, japanisch, chinesisch, koreanisch"
ger,"deutsch, englisch, französisch, russisch, spanisch, italienisch, japanisch, niederländisch, koreanisch, chinesisch"
ger,"deutsch, englisch, französisch, niederländisch, spanisch, italienisch, japanisch, koreanisch, chinesisch"
ger,"deutsch, englisch, französisch, spanisch, italienisch, japanisch, chinesisch, koreanisch"
ger,"deutsch, englisch, spanisch, italienisch, französisch, polnisch, chinesisch, niederländisch, japanisch, koreanisch, portugiesisch, russisch, dänisch"
ger,"deutsch, englisch, französisch, spanisch, italienisch, japanisch, chinesisch, koreanisch"
ger,"deutsch, englisch, französisch, spanisch, italienisch, niederländisch, portugiesisch, schwedisch, dänisch, finnisch, norwegisch, polnisch, arabisch"
ger,"deutsch, englisch, italienisch, deutsch (untertitel), englisch (untertitel), tschechisch (untertitel), ungarisch (untertitel), italienisch (untertitel), polnisch (untertitel), slowenisch (untertitel)"
ger,"deutsch, englisch, italienisch, deutsch (untertitel), italienisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, italienisch, deutsch (untertitel), italienisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, englisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch"
ger,"deutsch, deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, schweizerdeutsch"
ger,"deutsch, englisch, türkisch, deutsch (untertitel), englisch (untertitel), türkisch (untertitel)"
ger,"deutsch, deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), deutsch (untertitel für hörgeschädigte), deutsch (audiodeskription für blinde und sehbehinderte)"
ger,"deutsch, englisch, spanisch, deutsch (untertitel), englisch (untertitel), spanisch (untertitel), portugiesisch (untertitel), finnisch (untertitel), norwegisch (untertitel), dänisch (untertitel), schwedisch (untertitel), hebräisch (untertitel), polnisch (untertitel), tschechisch (untertitel), kroatisch (untertitel), slowenisch (untertitel), griechisch (untertitel), ungarisch (untertitel), türkisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), arabisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), dänisch (untertitel), finnisch (untertitel), norwegisch (untertitel), schwedisch (untertitel), türkisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), türkisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"französisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, deutsch (untertitel), französisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, französisch, französisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, französisch, spanisch, deutsch (untertitel), französisch (untertitel), spanisch (untertitel), englisch (untertitel für hörgeschädigte), englisch (audiodeskription für sehbehinderte)"
ger,"deutsch, englisch, deutsch (untertitel), farbige untertitel für hörgeschädigte"
ger,"deutsch, englisch, deutsch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, französisch, deutsch (untertitel)"
ger,"deutsch, englisch, französisch, italienisch, spanisch, deutsch (untertitel), englisch (untertitel), französisch (untertitel), portugiesisch (untertitel), dänisch (untertitel), finnisch (untertitel), schwedisch (untertitel), norwegisch (untertitel), holländisch (untertitel), tschechisch (untertitel), polnisch (untertitel), türkisch (untertitel), ungarisch (untertitel), bulgarisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), türkisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), türkisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, niederländisch"
ger,"deutsch, französisch"
ger,"deutsch, englisch, deutsch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, französisch, hindi, italienisch, spanisch, deutsch (untertitel), englisch (untertitel), arabisch (untertitel), dänisch (untertitel), finnisch (untertitel), französisch (untertitel), hindi (untertitel), isländisch (untertitel), italienisch (untertitel), niederländisch (untertitel), norwegisch (untertitel), portugiesisch (untertitel), schwedisch (untertitel), spanisch (untertitel)"
ger,"deutsch, schweizerdeutsch, deutsch (untertitel), englisch (untertitel)"
ger,"deutsch, englisch, türkisch, deutsch (untertitel), englisch (untertitel), dänisch (untertitel), finnisch (untertitel), hindi (untertitel), norwegisch (untertitel), polnisch (untertitel), schwedisch (untertitel), türkisch (untertitel), englisch (untertitel für hörgeschädigte), englisch für sehgeschädigte"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, französisch, deutsch (untertitel), französisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"englisch, deutsch, französisch, italienisch, spanisch, deutsch (untertitel), französisch (untertitel), englisch (untertitel), niederländisch (untertitel), portugiesisch (untertitel), schwedisch (untertitel), norwegisch (untertitel), finnisch (untertitel), dänisch (untertitel), polnisch (untertitel), tschechisch (untertitel)"
ger,"deutsch, englisch, englisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch (untertitel), französisch (untertitel), spanisch (untertitel), deutsch (untertitel für hörgeschädigte), deutsch (audiodeskription für sehbehinderte)"
ger,"deutsch, englisch, spanisch, deutsch (untertitel), englisch (untertitel), spanisch (untertitel), portugiesisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, deutsch (untertitel für hörgeschädigte), deutsch (hörfilmfassung)"
ger,"deutsch, französisch, deutsch (untertitel)"
ger,"deutsch, englisch, spanisch, französisch, italienisch, deutsch (untertitel), französisch (untertitel), italienisch (untertitel), spanisch (untertitel), portugiesisch (untertitel), ungarisch (untertitel), polnisch (untertitel), kroatisch (untertitel), slowenisch (untertitel), estnisch (untertitel), lettisch (untertitel), litauisch (untertitel), rumänisch (untertitel), tschechisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, englisch (untertitel), deutsch (untertitel für hörgeschädigte), deutsch (hörfilmfassung für sehgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel für hörgeschädigte), deutsch (hörfilmfassung)"
ger,"deutsch, englisch, deutsch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, deutsch (untertitel für hörgeschädigte), deutsch (hörfilmfassung)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), dänisch (untertitel), holländisch (untertitel), ungarisch (untertitel), norwegisch (untertitel), polnisch (untertitel), portugiesisch (untertitel), rumänisch (untertitel), schwedisch (untertitel), türkisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), dänisch (untertitel), holländisch (untertitel), ungarisch (untertitel), norwegisch (untertitel), polnisch (untertitel), portugiesisch (untertitel), rumänisch (untertitel), schwedisch (untertitel), türkisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), dänisch (untertitel), holländisch (untertitel), ungarisch (untertitel), norwegisch (untertitel), polnisch (untertitel), portugiesisch (untertitel), rumänisch (untertitel), schwedisch (untertitel), türkisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), dänisch (untertitel), holländisch (untertitel), ungarisch (untertitel), norwegisch (untertitel), polnisch (untertitel), portugiesisch (untertitel), rumänisch (untertitel), schwedisch (untertitel), türkisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, deutsch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, spanisch, arabisch (untertitel), dänisch (untertitel), finnisch (untertitel), norwegisch (untertitel), portugiesisch (untertitel), schwedisch (untertitel), isländisch (untertitel), hebräisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, spanisch, arabisch (untertitel), dänisch (untertitel), finnisch (untertitel), schwedisch (untertitel), portugiesisch (untertitel), isländisch (untertitel), spanisch (untertitel), hebräisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, spanisch, arabisch (untertitel), dänisch (untertitel), finnisch (untertitel), isländisch (untertitel), norwegisch (untertitel), polnisch (untertitel), portugiesisch (untertitel), schwedisch (untertitel), spanisch (untertitel), ungarisch (untertitel), rumänisch (untertitel), hebräisch (untertitel), bulgarisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"mongolisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, japanisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, französisch, italienisch, spanisch, deutsch (untertitel), englisch (untertitel), arabisch (untertitel), bulgarisch (untertitel), dänisch (untertitel), finnisch (untertitel), französisch (untertitel), griechisch (untertitel), hebräisch (untertitel), holländisch (untertitel), isländisch (untertitel), italienisch (untertitel), kroatisch (untertitel), norwegisch (untertitel), polnisch (untertitel), portugiesisch (untertitel), rumänisch (untertitel), serbisch (untertitel), slovenisch (untertitel), spanisch (untertitel), schwedisch (untertitel), tschechisch (untertitel), türkisch (untertitel), ungarisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, dänisch, deutsch (untertitel)"
ger,"deutsch, englisch, italienisch, französisch, spanisch, niederländisch, deutsch (untertitel), englisch (untertitel), italienisch (untertitel), französisch (untertitel), spanisch (untertitel), niederländisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, polnisch, deutsch (untertitel), polnisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, deutsch (hörfilmfassung), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch (untertitel), deutsch für gehörlose"
ger,"deutsch, originalfassung (englisch mit passagen in deutsch und französisch), hörfilmfassung, deutsch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, deutsch (untertitel), deutsch (untertitel für hörgeschädigte), deutsch (audiodeskription)"
ger,"deutsch, englisch, deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, polnisch, ungarisch, deutsch (untertitel), englisch (untertitel), polnisch (untertitel), türkisch (untertitel), ungarisch (untertitel)"
ger,"deutsch, englisch, englisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, englisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, originalfassung (arabisch, hebräisch), deutsch (untertitel), deutsch (untertitel für hörgeschädigte), deutsch (audiodeskription für sehgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel)"
ger,"deutsch, englisch, spanisch, dänisch (untertitel), finnisch (untertitel), portugiesisch (untertitel), schwedisch (untertitel), spanisch (untertitel), norwegisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, italienisch, hebräisch, türkisch, deutsch (untertitel), englisch (untertitel), italienisch (untertitel), türkisch (untertitel), hebräisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, deutsch (untertitel für hörgeschädigte), deutsch (audiodeskription für sehbehinderte)"
ger,"deutsch, englisch, niederländisch, deutsch (untertitel), englisch (untertitel), englisch (untertitel für hörgeschädigte), niederländisch (untertitel), türkisch (untertitel)"
ger,"deutsch, englisch, spanisch, schwedisch, norwegisch, dänisch, finnisch, polnisch, englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, portugiesisch (untertitel), hebräisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte), englisch (audiodeskription für blinde)"
ger,"deutsch, englisch, türkisch, deutsch (untertitel), englisch (untertitel), französisch (untertitel), italienisch (untertitel), spanisch (untertitel), türkisch (untertitel), arabisch (untertitel)"
ger,"deutsch, englisch, italienisch, arabisch, deutsch (untertitel), englisch (untertitel), französisch (untertitel), italienisch (untertitel), spanisch (untertitel), türkisch (untertitel), arabisch (untertitel), kroatisch (untertitel), slowenisch (untertitel)"
ger,"deutsch, englisch, türkisch, deutsch (untertitel), türkisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, spanisch, deutsch (untertitel), englisch (untertitel), spanisch (untertitel), französisch (untertitel), portugiesisch (untertitel), türkisch (untertitel)"
ger,"deutsch, deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), türkisch (untertitel)"
ger,"deutsch, englisch, französisch, italienisch, spanisch, deutsch (untertitel), englisch (untertitel), französisch (untertitel), polnisch (untertitel), tschechisch (untertitel), ungarisch (untertitel), hindi (untertitel), türkisch (untertitel), dänisch (untertitel), arabisch (untertitel), bulgarisch (untertitel), schwedisch (untertitel), finnisch (untertitel), isländisch (untertitel), holländisch (untertitel), norwegisch (untertitel), portugiesisch (untertitel), griechisch (untertitel), hebräisch (untertitel), spanisch (untertitel), italienisch (untertitel)"
ger,"deutsch, französisch"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch"
ger,"deutsch, französisch, deutsch (untertitel)"
ger,"deutsch, englisch, tschechisch, ungarisch, deutsch (untertitel), englisch (untertitel), bulgarisch (untertitel), dänisch (untertitel), holländisch (untertitel), finnisch (untertitel), isländisch (untertitel), norwegisch (untertitel), schwedisch (untertitel), türkisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, italienisch, deutsch (untertitel), englisch (untertitel), französisch (untertitel), spanisch (untertitel), italienisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, französisch, deutsch (untertitel), französisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, japanisch, deutsch (untertitel)"
ger,"deutsch, japanisch, deutsch (untertitel)"
ger,"deutsch, englisch"
ger,"deutsch, deutsch (untertitel), staffel 2 und 3 mit hörfilmfassung"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, dänisch, deutsch (untertitel), deutsch (untertitel für hörgeschädigte), hörfilmfassung für sehbehinderte"
ger,"deutsch, englisch, französisch, polnisch, französisch (untertitel), niederländisch (untertitel), dänisch (untertitel), schwedisch (untertitel), norwegisch (untertitel), finnisch (untertitel), polnisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, spanisch, schwedisch, norwegisch, dänisch, finnisch, portugiesisch, polnisch, deutsch (untertitel), englisch (untertitel), spanisch (untertitel), französisch (untertitel), italienisch (untertitel), türkisch (untertitel), holländisch (untertitel), schwedisch (untertitel), norwegisch (untertitel), dänisch (untertitel), finnisch (untertitel), portugiesisch (untertitel), hebräisch (untertitel), polnisch (untertitel), griechisch (untertitel), tschechisch (untertitel), ungarisch (untertitel), isländisch (untertitel), kroatisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte), italienisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), niederländisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, italienisch, spanisch, deutsch (untertitel), englisch (untertitel), italienisch (untertitel), spanisch (untertitel)"
ger,"deutsch, englisch, französisch, deutsch (untertitel), englisch (untertitel), französisch (untertitel), türkisch (untertitel), arabisch (untertitel), niederländisch (untertitel)"
ger,"deutsch, englisch, französisch, italienisch, deutsch (untertitel), englisch (untertitel), französisch (untertitel), niederländisch (untertitel), italienisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, französisch, deutsch (untertitel), englisch (untertitel), französisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, französisch, deutsch (untertitel), französisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), türkisch (untertitel), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, türkisch, deutsch (untertitel), englisch (untertitel), türkisch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, griechisch, katalanisch, portugiesisch, spanisch, türkisch, deutsch (untertitel), englisch (untertitel), griechisch (untertitel), portugiesisch (untertitel), spanisch (untertitel), türkisch (untertitel)"
ger,"deutsch (neu synchronisiert), englisch, deutsch (restaurierter originalton), deutsch (untertitel), englisch (untertitel), türkisch (untertitel)"
ger,"deutsch, deutsch mit französischen untertiteln, deutsch (untertitel für hörgeschädigte), deutsch (audiodeskription für blinde)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel), spanisch (untertitel), französisch (untertitel), italienisch (untertitel), türkisch (untertitel), holländisch (untertitel), schwedisch (untertitel), norwegisch (untertitel), dänisch (untertitel), finnisch (untertitel), portugiesisch (untertitel), hebräisch (untertitel), polnisch (untertitel), griechisch (untertitel), tschechisch (untertitel), ungarisch (untertitel), isländisch (untertitel), kroatisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, französisch, französisch (untertitel), niederländisch (untertitel), griechisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte), deutsch (audiodeskription für blinde)"
ger,"deutsch, englisch, französisch, italienisch, spanisch, griechisch (untertitel), ungarisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, französisch, italienisch, spanisch, griechisch (untertitel), ungarisch (untertitel), deutsch (untertitel für hörgeschädigte), englisch (untertitel für hörgeschädigte)"
ger,"deutsch, englisch, deutsch (untertitel), englisch (untertitel)"
ger,"deutsch, deutsch (untertitel)"
ger,"deutsch, englisch, deutsch (untertitel), deutsch (untertitel für hörgeschädigte)"
